terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Baú;Kayapó;Altamira;PA;1540930,156;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1500602.0;Altamira;Total;88,3;94;83,4;92,7;94,3;92,2;99,4;100;91,4;--
Baú;Kayapó;Altamira;PA;1540930,156;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1500602.0;Altamira;Urbana;92,9;94,6;90,5;97,5;95,9;98,9;99,3;100;98,1;--
Baú;Kayapó;Altamira;PA;1540930,156;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1500602.0;Altamira;Rural;75;89,5;71,2;88,3;89;88,5;100;--;85,9;--
Boa Vista - AM;Múra;Careiro da Várzea;AM;337,3562;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301159.0;Careiro da Várzea;Total;97,3;100;97;94,3;89,5;96,4;100;100;96,9;--
Boa Vista - AM;Múra;Careiro da Várzea;AM;337,3562;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301159.0;Careiro da Várzea;Urbana;100;100;100;96,3;93,5;96,8;100;100;100;--
Boa Vista - AM;Múra;Careiro da Várzea;AM;337,3562;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301159.0;Careiro da Várzea;Rural;95,8;100;95,5;94;88,4;96,4;100;--;94,9;--
Boa Vista - PR;Kaingang;Laranjeiras do Sul;PR;7336,3308;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;PR;4113304.0;Laranjeiras do Sul;Total;87,8;85,4;90;95;93,9;95,6;97,5;92,9;100;100
Boa Vista - PR;Kaingang;Laranjeiras do Sul;PR;7336,3308;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;PR;4113304.0;Laranjeiras do Sul;Urbana;89,1;85,4;92,7;97,5;96;98,9;100;92,9;100;100
Boa Vista - PR;Kaingang;Laranjeiras do Sul;PR;7336,3308;Declarada;Tradicionalmente ocupada;;Não;2022;Sul;PR;4113304.0;Laranjeiras do Sul;Rural;71,4;--;71,4;81;75;84;83,8;--;--;--
Boa Vista Sertão do Promirim;Guaraní;Ubatuba;SP;906,3886;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3555406.0;Ubatuba;Total;81,1;75,9;87,1;95,6;96,5;94,6;96,2;77,8;92,9;85,7
Boa Vista Sertão do Promirim;Guaraní;Ubatuba;SP;906,3886;Regularizada;Tradicionalmente ocupada;;Não;2022;Sudeste;SP;3555406.0;Ubatuba;Urbana;81,1;75,9;87,1;95,6;96,5;94,6;96,2;77,8;92,9;85,7
Boa Vista Sertão do Promirim;Guaraní;Ubatuba;SP;5420;Delimitada;Tradicionalmente ocupada;Reestudo;Não;2022;Sudeste;SP;3555406.0;Ubatuba;Total;81,1;75,9;87,1;95,6;96,5;94,6;96,2;77,8;92,9;85,7
Boa Vista Sertão do Promirim;Guaraní;Ubatuba;SP;5420;Delimitada;Tradicionalmente ocupada;Reestudo;Não;2022;Sudeste;SP;3555406.0;Ubatuba;Urbana;81,1;75,9;87,1;95,6;96,5;94,6;96,2;77,8;92,9;85,7
Bom Intento;Tikúna;Benjamin Constant;AM;1613,043;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Total;65;65,7;64,3;79,1;76,1;82;91,4;81,3;97,8;--
Bom Intento;Tikúna;Benjamin Constant;AM;1613,043;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Urbana;94,4;94,1;92,3;94,8;94,6;95;100;81,3;97,7;--
Bom Intento;Tikúna;Benjamin Constant;AM;1613,043;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;AM;1300607.0;Benjamin Constant;Rural;39,7;38,9;40;67,2;59,8;73,8;86;--;100;--
Bom Jesus;Makuxí;Bonfim;RR;859,1271;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Total;84,6;66,7;85,7;67,6;69,5;64,6;69;100;61,7;--
Bom Jesus;Makuxí;Bonfim;RR;859,1271;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Urbana;86,7;66,7;90,9;96,2;96;96,7;88;100;77,8;--
Bom Jesus;Makuxí;Bonfim;RR;859,1271;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400159.0;Bonfim;Rural;83,3;--;83,3;59,9;61,3;57;63,6;--;58,8;--
Bom Jesus;Makuxí;Bonfim;RR;859,1271;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Total;95;100;93,8;92,2;92,6;92,9;90,9;--;--;--
Bom Jesus;Makuxí;Bonfim;RR;859,1271;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Urbana;100;100;100;91,3;91,7;91,7;90,9;--;--;--
Bom Jesus;Makuxí;Bonfim;RR;859,1271;Regularizada;Tradicionalmente ocupada;;Sim;2022;Sudeste;MG;3108107.0;Bonfim;Rural;66,7;--;66,7;100;100;100;--;--;--;--
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Total;64,3;71,4;59,5;59,2;65;56,8;79,8;--;69,2;--
Boqueirão;Makuxí,Wapixana;Alto Alegre;RR;16354,0776;Regularizada;Tradicionalmente ocupada;;Sim;2022;Norte;RR;1400050.0;Alto Alegre;Urbana;87;91,7;76,9;84,1;74,2;93,8;90,6;--;92,3;--
