terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira
Igarapé Lourdes;Gavião de Rondônia;Ji-Paraná;RO;185533,5768;Regularizada;Tradicionalmente ocupada;;Não
Igarapé Ribeirão;Pakaa Nova ;Nova Mamoré;RO;47863,3178;Regularizada;Tradicionalmente ocupada;;Sim
Igarapé Taboca do Alto Tarauacá;Isolados;Jordão;AC;287;Em Estudo;Interditada;;Sim
Igarapé do Caucho;Kaxinawá;Tarauacá,Feijó;AC;12317,8938;Regularizada;Tradicionalmente ocupada;;Sim
Iguatemipegua I;Guarani Kaiowá;Iguatemi;MS;41571;Delimitada;Tradicionalmente ocupada;;Sim
Ilha da Cotinga;Guaraní;Paranaguá;PR;1701,202;Regularizada;Tradicionalmente ocupada;;Não
Ilha do Camaleão;Tikúna;Anamã;AM;236,78;Regularizada;Tradicionalmente ocupada;;Não
Ilhas da Tapera/São Félix/Porto;Truká;Orocó;PE;0;Encaminhada RI;Reserva Indígena;;Não
Imbiriba;Pataxó;Porto Seguro;BA;408,3384;Regularizada;Tradicionalmente ocupada;;Não
Inauini/Teuini;Jamamadí;Boca do Acre,Pauini;AM;468996,3;Regularizada;Tradicionalmente ocupada;;Não
Inawebohona;Javaé,Karajá;Lagoa da Confusão,Pium;TO;377113,5744;Regularizada;Tradicionalmente ocupada;;Não
Inhacorá;Kaingang;São Valério do Sul;RS;2843,3796;Regularizada;Tradicionalmente ocupada;;Sim
Ipixuna;Diahói;Humaitá;AM;215362,1079;Regularizada;Tradicionalmente ocupada;;Não
Irantxe;Irántxe;Brasnorte;MT;45555,95;Regularizada;Tradicionalmente ocupada;;Não
Irapuá;Guaraní;Caçapava do Sul;RS;222;Declarada;Tradicionalmente ocupada;;Não
Itaitinga;Múra;Autazes;AM;135,8842;Regularizada;Tradicionalmente ocupada;;Não
Itaóca;Guarani Mbya;Mongaguá;SP;533;Declarada;Tradicionalmente ocupada;;Não
Itixi Mitari;Apurinã;Tapauá,Anori,Beruri;AM;182134,7746;Regularizada;Tradicionalmente ocupada;;Não
Ituna/Itatá (restrição de uso);Isolados;Altamira,Anapu,Senador José Porfírio;PA;142402;Em Estudo;Interditada;;Não
Ivai;Kaingang;Pitanga,Manoel Ribas;PR;7306,3478;Regularizada;Tradicionalmente ocupada;;Não
Jabuti;Makuxí,Wapixana;Bonfim;RR;14210,6996;Regularizada;Tradicionalmente ocupada;;Sim
Jacamim;Jaricuna,Wapixana;Bonfim,Caracaraí;RR;193493,5694;Regularizada;Tradicionalmente ocupada;;Sim
Jacareúba/Katauixi (restrição uso);Isolados;Canutama,Lábrea;AM;647386;Em Estudo;Interditada;;Sim
Jacaré de São Domingos;Potiguara;Rio Tinto,Marcação;PB;5032,2431;Regularizada;Tradicionalmente ocupada;;Não
Jaguapiré;Guarani Kaiowá;Tacuru;MS;2342,0155;Regularizada;Tradicionalmente ocupada;;Sim
Jaguari;Guarani Kaiowá;Amambai;MS;404,7055;Regularizada;Tradicionalmente ocupada;;Sim
Jaminaua/Envira;Kulina Madijá;Feijó;AC;80618,1798;Regularizada;Tradicionalmente ocupada;;Sim
Jaminawa Arara do Rio Bagé;Yaminawa,Arara do Acre;Marechal Thaumaturgo,Jordão;AC;28926,1102;Regularizada;Tradicionalmente ocupada;;Sim
Jaminawa do Igarapé Preto;Yaminawa;Cruzeiro do Sul;AC;25651,6167;Regularizada;Tradicionalmente ocupada;;Sim
Japuira;Rikbaktsa;Juara;MT;152509,88;Regularizada;Tradicionalmente ocupada;;Não
Jaquiri;Kambéba;Uarini;AM;1819,9825;Regularizada;Tradicionalmente ocupada;;Não
Jaraguá;Guaraní;São Paulo,Osasco;SP;532;Declarada;Tradicionalmente ocupada;Reestudo;Não
Jaraguá;Guaraní;São Paulo,Osasco;SP;1,7566;Regularizada;Tradicionalmente ocupada;;Não
Jarara;Guarani Kaiowá;Juti;MS;479,0728;Homologada;Tradicionalmente ocupada;;Sim
Jarawara/Jamamadi/Kanamati;Yaminawa,Jamamadí,Kanamarí;Tapauá,Lábrea;AM;390233,0536;Regularizada;Tradicionalmente ocupada;;Não
Jarudore;Boróro ;Poxoréo;MT;4706;Regularizada;Tradicionalmente ocupada;;Não
Jatayvari;Guarani Kaiowá;Ponta Porã;MS;8800;Declarada;Tradicionalmente ocupada;;Sim
Jatuarana;Apurinã;Manacapuru;AM;5251,7956;Regularizada;Tradicionalmente ocupada;;Não
Jauary;Múra;Autazes;AM;24831;Delimitada;Tradicionalmente ocupada;;Não
Juininha;Paresí;Conquista D´Oeste;MT;70537,5203;Regularizada;Tradicionalmente ocupada;;Sim
Juma;Juma;Canutama;AM;38351,1496;Regularizada;Tradicionalmente ocupada;;Não
Jumina;Karipuna,Galibi do Oiapoque;Oiapoque;AP;41601,2713;Regularizada;Tradicionalmente ocupada;;Sim
