LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-48.59904;-5.047363;bom jesus do tocantins;Norte;PA;1501576.0;93.0;90.7;86.1;86.1;0.0;85.4;0.0;Mãe Maria;Gavião Parkatejê;Tradicionalmente ocupada;Não;sim
-48.59904;-5.047363;bom jesus do tocantins;Norte;TO;1703305.0;80.0;66.7;83.3;84.2;0.0;0.0;0.0;Mãe Maria;Gavião Parkatejê;Tradicionalmente ocupada;Não;sim
-47.305892;-1.367474;bonito;Norte;PA;1501600.0;76.2;77.8;90.1;100.0;0.0;90.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.305892;-1.367474;bonito;Nordeste;PE;2602308.0;68.4;66.7;88.4;95.3;100.0;94.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.305892;-1.367474;bonito;Nordeste;BA;2904050.0;54.4;60.0;66.0;94.4;0.0;73.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.305892;-1.367474;bonito;Centro-Oeste;MS;5002209.0;97.4;98.2;98.3;98.9;0.0;0.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.543441;-3.297804;brasil novo;Norte;PA;1501725.0;87.2;86.7;76.8;100.0;0.0;95.2;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.40576;-5.707296;brejo grande do araguaia;Norte;PA;1501758.0;95.8;93.3;93.4;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.56988;-3.778135;breu branco;Norte;PA;1501782.0;78.0;80.8;88.5;100.0;0.0;94.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.480895;-1.690737;breves;Norte;PA;1501808.0;76.2;69.1;87.8;97.7;100.0;60.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.035875;-1.513991;bujaru;Norte;PA;1501907.0;83.2;79.2;88.0;100.0;0.0;84.6;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.960668;-1.008786;cachoeira do arari;Norte;PA;1502004.0;66.7;63.2;83.7;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.175126;-1.192442;capanema;Norte;PA;1502202.0;92.1;89.7;98.2;99.3;45.5;97.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.175126;-1.192442;capanema;Sul;PR;4104501.0;89.5;89.8;93.1;99.2;0.0;94.7;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-47.926643;-1.295757;castanhal;Norte;PA;1502400.0;75.6;73.8;91.9;99.9;96.6;98.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.989319;-0.162437;chaves;Norte;PA;1502509.0;72.7;64.1;84.2;100.0;0.0;74.8;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.288728;-0.932091;colares;Norte;PA;1502608.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
